노선,지사,터널명,이정,연장,차로수,종별,상태등급,준공일자,행정구역
경부선,수원지사,판교IC지하차도,406,281,2,2종,B,2010-12-20,경기도 성남시 분당구 판교동 
경부선,수원지사,삼평지하차도,407,150,2,2종,B,2010-12-20,경기도 성남시 분당구 삼평동 
수도권제1순환선(판교퇴계원),동서울지사,광암터널(구리),16,726,4,1종,B,2002-12-16,경기도 하남시 광암동 
수도권제1순환선(판교퇴계원),동서울지사,광암터널(판교1),16,743,2,2종,B,1991-11-29,경기도 하남시 광암동 
수도권제1순환선(판교퇴계원),동서울지사,광암터널(판교2),16,752,2,2종,B,1991-11-29,경기도 하남시 광암동 
수도권제1순환선(판교일산),동서울지사,청계터널(일산),123,450,4,1종,B,1995-07-17,경기도 의왕시 청계동 
수도권제1순환선(판교일산),동서울지사,청계터널(판교),123,550,4,1종,B,1995-07-17,경기도 의왕시 청계동 
중부내륙선,이천지사,금사1터널(양평),285,378,2,2종,B,2012-12-13,경기도 여주시 금사면 궁리
중부내륙선,이천지사,금사1터널(창원),285,388,2,2종,B,2012-12-13,경기도 여주시 금사면 궁리
중부내륙선,이천지사,금사2터널(양평),286,127,2,2종,B,2012-12-13,경기도 여주시 금사면 외평리
중부내륙선,이천지사,금사2터널(창원),286,168,2,2종,B,2012-12-13,경기도 여주시 금사면 외평리
중부내륙선,이천지사,금사3터널(양평),287,900,2,2종,B,2012-12-13,경기도 여주시 금사면 외평리
중부내륙선,이천지사,금사3터널(창원),287,900,2,2종,B,2012-12-13,경기도 여주시 금사면 외평리
중부내륙선,이천지사,금사4터널(양평),288,257,2,2종,B,2012-12-13,경기도 여주시 금사면 하호리
중부내륙선,이천지사,금사4터널(창원),288,259,2,2종,B,2012-12-13,경기도 여주시 금사면 하호리
중부내륙선,이천지사,금사5터널(양평),290,1890,2,1종,B,2012-12-13,경기도 여주시 금사면 소유리
중부내륙선,이천지사,금사5터널(창원),290,1869,2,1종,B,2012-12-13,경기도 여주시 금사면 소유리
중부내륙선,이천지사,강상1터널(양평),292,1323,2,1종,B,2012-12-13,경기도 양평군 강상면 대석리
중부내륙선,이천지사,강상1터널(창원),292,1328,2,1종,B,2012-12-13,경기도 양평군 강상면 대석리
중부내륙선,이천지사,강상2터널(양평),293,1699,2,1종,B,2012-12-13,경기도 양평군 강상면 세월리
중부내륙선,이천지사,강상2터널(창원),293,1697,2,1종,B,2012-12-13,경기도 양평군 강상면 세월리
영동선,이천지사,양지터널(강릉),59,730,4,1종,A,2012-05-31,경기도 용인시 처인구 양지면 주북리
영동선,이천지사,양지터널(인천2),59,642,2,2종,B,1994-12-05,경기도 용인시 처인구 양지면 주북리
영동선,이천지사,양지터널(인천1),59,660,2,2종,B,1994-12-05,경기도 용인시 처인구 양지면 주북리
수도권제2순환선,이천지사,옥천터널(화도),303,770,2,2종,A,2023-07-14,경기도 양평군 양서면 증동리
수도권제2순환선,이천지사,옥천터널(양평),303,770,2,2종,A,2023-07-14,경기도 양평군 양서면 증동리
수도권제2순환선,이천지사,양서1터널(화도),304,423,2,2종,A,2023-07-14,경기도 양평군 양서면 증동리
수도권제2순환선,이천지사,양서1터널(양평),304,425,2,2종,A,2023-07-14,경기도 양평군 양서면 증동리
수도권제2순환선,이천지사,양서2터널(화도),305,3432,2,1종,A,2023-07-14,경기도 양평군 양서면 목왕리
수도권제2순환선,이천지사,양서2터널(양평),305,3430,2,1종,A,2023-07-14,경기도 양평군 양서면 목왕리
수도권제2순환선,이천지사,양서3터널(양평),311,2617,2,1종,A,2023-07-14,경기도 양평군 양서면 양수리
수도권제2순환선,이천지사,양서3터널(화도),311,2609,2,1종,A,2023-07-14,경기도 양평군 양서면 양수리
수도권제2순환선,이천지사,양서4터널(양평),313,960,2,2종,B,2023-07-14,경기도 양평군 서종면 문호리
수도권제2순환선,이천지사,양서4터널(화도),313,960,2,2종,B,2023-07-14,경기도 양평군 서종면 문호리
수도권제2순환선,이천지사,문안산터널(양평),315,3900,2,1종,A,2023-12-20,경기도 남양주시 화도읍 창현리
수도권제2순환선,이천지사,문안산터널(화도),315,3942,2,1종,A,2023-12-20,경기도 남양주시 조안면 삼봉리
통영대전선/중부선,경기광주지사,중부3터널(하남),349,378,2,2종,B,1987-11-30,경기도 광주시 초월읍 지월리
통영대전선/중부선,경기광주지사,중부3터널(남이),349,369,2,2종,A,1987-11-30,경기도 광주시 남한산성면 하번천리
통영대전선/중부선,경기광주지사,중부2터널(하남),351,236,2,2종,B,1987-11-30,경기도 광주시 남한산성면 하번천리
통영대전선/중부선,경기광주지사,중부2터널(남이),351,252,2,2종,A,1987-11-30,경기도 광주시 남한산성면 하번천리
통영대전선/중부선,경기광주지사,중부1터널(하남),355,296,2,2종,B,1987-11-30,경기도 광주시 남한산성면 광지원리
통영대전선/중부선,경기광주지사,중부1터널(남이),355,300,2,2종,A,1987-11-30,경기도 광주시 남한산성면 엄미리
제2중부선,경기광주지사,하번천터널(하남),349,445,2,2종,B,2001-11-29,경기도 광주시 초월읍 지월리
제2중부선,경기광주지사,하번천터널(이천),349,396,2,2종,B,2001-11-29,경기도 광주시 남한산성면 하번천리
제2중부선,경기광주지사,광지원터널(하남),355,526,2,2종,B,2001-11-29,경기도 광주시 남한산성면 광지원리
제2중부선,경기광주지사,광지원터널(이천),355,520,2,2종,B,2001-11-29,경기도 광주시 남한산성면 엄미리
제2중부선,경기광주지사,산곡터널(이천),356,240,2,2종,B,2001-11-29,경기도 하남시 상산곡동 
영동선,원주지사,강천터널(강릉),102,338,2,2종,B,1994-12-23,경기도 여주시 강천면 강천리
영동선,원주지사,강천터널(인천),102,329,3,1종,B,2011-10-31,경기도 여주시 강천면 강천리
영동선,대관령지사,둔내터널(강릉),169,3300,2,1종,B,1999-12-18,강원특별자치도 횡성군 둔내면 삽교리
영동선,대관령지사,둔내터널(인천),169,3300,2,1종,B,1999-12-18,강원특별자치도 횡성군 둔내면 삽교리
영동선,대관령지사,봉평터널(인천),179,1420,2,1종,B,1999-12-18,강원특별자치도 평창군 봉평면 면온리
영동선,대관령지사,봉평터널(강릉),179,1445,2,1종,B,1999-12-18,강원특별자치도 평창군 봉평면 면온리
영동선,대관령지사,진부1터널(강릉),194,2075,2,1종,B,1999-12-18,강원특별자치도 평창군 용평면 속사리
영동선,대관령지사,진부1터널(인천),194,2095,2,1종,B,1999-12-18,강원특별자치도 평창군 용평면 속사리
영동선,대관령지사,진부2터널(강릉),196,203,2,2종,B,1999-12-18,강원특별자치도 평창군 진부면 하진부리
영동선,대관령지사,진부2터널(인천),196,185,2,2종,B,1999-12-18,강원특별자치도 평창군 진부면 하진부리
영동선,대관령지사,진부3터널(인천),197,604,2,2종,B,1999-12-18,강원특별자치도 평창군 진부면 하진부리
영동선,대관령지사,진부3터널(강릉),197,599,2,2종,B,1999-12-18,강원특별자치도 평창군 진부면 하진부리
영동선,대관령지사,대관령1터널(강릉),215,1830,2,1종,B,2001-12-17,강원특별자치도 평창군 대관령면 횡계리
영동선,대관령지사,대관령1터널(인천),215,1800,3,1종,B,2001-12-17,강원특별자치도 평창군 대관령면 횡계리
영동선,대관령지사,대관령4터널(인천),220,705,3,1종,B,2001-12-17,강원특별자치도 강릉시 왕산면 왕산리
영동선,대관령지사,대관령4터널(강릉),220,668,2,2종,B,2001-12-17,강원특별자치도 강릉시 왕산면 왕산리
영동선,대관령지사,대관령5터널(인천),221,1209,3,1종,B,2001-12-17,강원특별자치도 강릉시 왕산면 왕산리
영동선,대관령지사,대관령5터널(강릉),221,1179,2,1종,B,2001-12-17,강원특별자치도 강릉시 왕산면 왕산리
영동선,대관령지사,대관령6터널(인천),223,234,3,1종,B,2001-12-17,강원특별자치도 강릉시 성산면 어흘리
영동선,대관령지사,대관령6터널(강릉),223,202,2,2종,B,2001-12-17,강원특별자치도 강릉시 성산면 어흘리
영동선,대관령지사,대관령7터널(강릉),224,120,2,2종,B,2001-12-17,강원특별자치도 강릉시 성산면 어흘리
영동선,대관령지사,대관령7터널(인천),224,120,3,1종,B,2001-12-17,강원특별자치도 강릉시 성산면 어흘리
중앙선,홍천지사,만종터널(춘천),315,423,2,2종,A,1994-12-18,강원특별자치도 원주시 호저면 만종리
중앙선,홍천지사,만종터널(부산),315,434,2,2종,B,1994-12-18,강원특별자치도 원주시 호저면 만종리
중앙선,홍천지사,횡성터널(춘천),337,405,2,2종,B,1999-08-01,강원특별자치도 횡성군 횡성읍 학곡리
중앙선,홍천지사,횡성터널(부산),337,367,2,2종,B,1999-08-01,강원특별자치도 횡성군 횡성읍 학곡리
중앙선,홍천지사,공근터널(춘천),342,635,2,2종,B,2001-08-31,강원특별자치도 횡성군 공근면 매곡리
중앙선,홍천지사,공근터널(부산),342,678,2,2종,A,2001-08-31,강원특별자치도 횡성군 공근면 매곡리
중앙선,홍천지사,삼마치터널(춘천),350,1436,2,1종,B,2001-08-31,강원특별자치도 횡성군 공근면 어둔리
중앙선,홍천지사,삼마치터널(부산),350,1429,2,1종,B,2001-08-31,강원특별자치도 횡성군 공근면 어둔리
중앙선,홍천지사,남산터널(춘천),357,840,2,2종,B,2000-11-20,강원특별자치도 홍천군 영귀미면 삼현리
중앙선,홍천지사,남산터널(부산),357,797,2,2종,B,2000-11-28,강원특별자치도 홍천군 영귀미면 삼현리
중앙선,홍천지사,굴지터널(춘천),369,710,2,2종,A,1995-10-01,강원특별자치도 홍천군 북방면 굴지리
중앙선,홍천지사,굴지터널(부산),369,648,2,2종,A,1995-10-01,강원특별자치도 홍천군 북방면 굴지리
중앙선,홍천지사,원무1터널(춘천),375,497,2,2종,B,1995-10-01,강원특별자치도 춘천시 동산면 봉명리
중앙선,홍천지사,원무1터널(부산),375,498,2,2종,A,2000-05-30,강원특별자치도 춘천시 동산면 봉명리
중앙선,홍천지사,원무2터널(춘천),376,808,2,2종,A,1995-10-01,강원특별자치도 춘천시 동산면 원창리
중앙선,홍천지사,원무2터널(부산),376,814,2,2종,A,1998-08-25,강원특별자치도 춘천시 동산면 원창리
중앙선,홍천지사,원창터널(춘천),379,224,2,2종,B,1995-10-01,강원특별자치도 춘천시 동산면 원창리
중앙선,홍천지사,원창터널(부산),379,273,2,2종,A,1998-10-09,강원특별자치도 춘천시 동산면 원창리
서울양양선,춘천지사,미사지하차도,2,123,3,2종,A,2009-08-11,경기도 하남시 미사동 
서울양양선,춘천지사,월문1터널(서울),9,1224,3,1종,B,2009-08-11,경기도 남양주시 와부읍 월문리
서울양양선,춘천지사,월문1터널(양양),9,1229,3,1종,B,2009-08-11,경기도 남양주시 와부읍 월문리
서울양양선,춘천지사,월문2터널,11,84,3,1종,B,2009-08-11,경기도 남양주시 와부읍 월문리
서울양양선,춘천지사,월문3터널(양양),12,988,3,1종,B,2009-08-11,경기도 남양주시 와부읍 월문리
서울양양선,춘천지사,월문3터널(서울),12,964,3,1종,B,2009-08-11,경기도 남양주시 와부읍 월문리
서울양양선,춘천지사,금남터널(양양),18,680,2,2종,B,2009-08-11,경기도 남양주시 화도읍 금남리
서울양양선,춘천지사,금남터널(서울),18,680,2,2종,A,2009-08-11,경기도 남양주시 화도읍 금남리
서울양양선,춘천지사,서종터널(양양),21,639,2,2종,B,2009-08-11,경기도 양평군 서종면 수입리
서울양양선,춘천지사,서종터널(서울),21,594,2,2종,B,2009-08-11,경기도 양평군 서종면 수입리
서울양양선,춘천지사,이천터널(서울),26,318,2,2종,B,2009-08-11,경기도 가평군 설악면 이천리
서울양양선,춘천지사,이천터널(양양),27,273,2,2종,B,2009-08-11,경기도 가평군 설악면 이천리
서울양양선,춘천지사,천안터널(양양),29,1270,2,1종,B,2009-08-11,경기도 가평군 설악면 천안리
서울양양선,춘천지사,천안터널(서울),29,1240,2,1종,B,2009-08-11,경기도 가평군 설악면 천안리
서울양양선,춘천지사,엄소터널(서울),32,436,2,2종,B,2009-08-11,경기도 가평군 설악면 엄소리
서울양양선,춘천지사,엄소터널(양양),32,380,2,2종,B,2009-08-11,경기도 가평군 설악면 엄소리
서울양양선,춘천지사,창의터널(양양),35,1348,2,1종,B,2009-08-11,경기도 가평군 설악면 창의리
서울양양선,춘천지사,창의터널(서울),35,1348,2,1종,B,2009-08-11,경기도 가평군 설악면 창의리
서울양양선,춘천지사,송산터널(양양),37,1136,2,1종,B,2009-08-11,경기도 가평군 설악면 송산리
서울양양선,춘천지사,송산터널(서울),37,1154,2,1종,B,2009-08-11,경기도 가평군 설악면 송산리
서울양양선,춘천지사,미사터널(양양),40,2193,2,1종,B,2009-08-11,경기도 가평군 설악면 미사리
서울양양선,춘천지사,미사터널(서울),40,2205,2,1종,B,2009-08-11,경기도 가평군 설악면 미사리
서울양양선,춘천지사,마곡터널(양양),42,919,2,2종,B,2009-08-11,강원특별자치도 홍천군 서면 마곡리
서울양양선,춘천지사,마곡터널(서울),42,958,2,2종,B,2009-08-11,강원특별자치도 홍천군 서면 마곡리
서울양양선,춘천지사,발산1터널(양양),45,633,2,2종,B,2009-08-11,강원특별자치도 춘천시 남면 발산리
서울양양선,춘천지사,발산1터널(서울),45,599,2,2종,B,2009-08-11,강원특별자치도 춘천시 남면 발산리
서울양양선,춘천지사,발산2터널(양양),45,480,2,2종,B,2009-08-11,강원특별자치도 춘천시 남면 발산리
서울양양선,춘천지사,발산2터널(서울),45,504,2,2종,B,2009-08-11,강원특별자치도 춘천시 남면 발산리
서울양양선,춘천지사,발산3터널(양양),46,254,2,2종,A,2009-08-11,강원특별자치도 춘천시 남면 발산리
